SimTime,TTI,ActiveAgents,WaitingReroute,CompletedTrips,DynamicReroutes,BlackZones,RedZones,YellowZones,RouterRPS,SavedDuplicates,RouterLoad,GreenZones,VisitedNodes,RouteCycles,WaitingSpawn,RouteTimeMaxUs,RouteTimeAvgUs,RouterWaitTimeUs
25135,5.5891,200000,28415,898455,384342,21,2885,1367,761.1,3554931,0.9988,36288,63867.4,41498400.0,9514,158893,11620,2555038920
25145,5.4672,200000,28442,898701,384759,21,2886,1369,696.7,3555946,0.9988,36456,71429.8,48980600.0,9519,161754,11905.3,2556017514
25165,7.3419,200000,28437,899151,385733,21,2887,1370,748.1,3557999,0.9988,36190,60862.6,41009900.0,9546,144040,10448.4,2558067615
25175,5.5582,200000,28221,899362,386419,21,2893,1363,775.5,3559379,0.9988,36072,56299.6,36176500.0,9549,107044,10777.5,2558925411
25185,5.358,200000,28415,899574,386769,22,2893,1364,745.0,3560458,0.9988,36130,67908.6,46545700.0,9508,160296,11141.5,2559970534
25195,6.1068,200000,28260,899816,387339,22,2896,1360,706.4,3561639,0.9988,36102,58691.9,38922500.0,9518,112226,10656.6,2561091052
25205,5.4234,200000,28310,900056,387742,22,2896,1363,686.1,3562830,0.9988,36068,65443.9,40652400.0,9551,101928,10509.7,2562124470
25215,5.5792,200000,28283,900301,388252,22,2896,1367,699.2,3563911,0.9988,36042,63853.3,40971300.0,9554,146776,10045,2563060860
25235,5.9471,200000,28290,900770,389140,22,2893,1371,738.2,3566046,0.9988,36151,71540.1,47253300.0,9565,157860,12470.2,2565133198
25245,5.6145,200000,28149,901020,389683,22,2901,1365,752.0,3567256,0.9988,36109,65451.4,43771100.0,9560,125134,11392.7,2566097573
25255,5.1893,200000,28137,901251,390169,22,2902,1361,702.1,3568362,0.9988,36186,66072.1,44400400.0,9554,122428,11626.4,2567120926
25275,5.0433,200000,28139,901671,391101,22,2897,1370,753.0,3570617,0.9988,36163,69357.7,44682600.0,9437,157808,11417.6,2569055060
25285,6.261,200000,28088,901926,391602,22,2902,1366,686.8,3571707,0.9988,36370,61801.9,38457500.0,9581,147355,10496.7,2570128291
25295,6.2361,200000,27927,902181,392220,22,2906,1362,748.0,3573161,0.9988,36266,59982.4,38660800.0,9462,172764,10379.9,2570992609
25315,5.6648,200000,28013,902645,393304,22,2906,1362,807.6,3575419,0.9988,36318,64274.8,43237900.0,9454,132777,12088.8,2573139656
25325,5.4985,200000,27881,902874,393923,22,2906,1357,814.8,3576553,0.9988,36297,60663.9,37935400.0,9436,130144,10671.1,2574150871
25335,5.4713,200000,27937,903116,394339,22,2909,1354,740.8,3577724,0.9988,36246,70794.5,48100100.0,9426,161279,12964.2,2575143416
25355,5.2299,200000,27935,903609,395214,22,2904,1359,775.2,3579877,0.9988,36287,67370,51980900.0,9463,147454,12802.4,2577142538
25365,6.2878,200000,27922,903873,395665,22,2903,1364,714.9,3581017,0.9988,36173,71849.9,47712500.0,9502,159079,11987.1,2578164345
25375,4.996,200000,27802,904105,396205,22,2905,1362,722.9,3582222,0.9988,36181,60196.2,37095000.0,9530,134606,9662.51,2579141258
25385,5.6104,200000,27855,904315,396689,22,2907,1360,728.4,3583493,0.9988,36112,58312.8,41456800.0,9424,158207,11559.5,2580135194
25405,5.4992,200000,27797,904772,397592,21,2906,1365,762.2,3585612,0.9988,36234,59850.4,44145400.0,9524,138591,12192.9,2582153153
25415,6.0085,199994,27852,904998,397978,21,2905,1367,730.8,3586661,0.9988,36082,71444.4,44542900.0,9529,130561,11552.2,2583211476
25425,4.343,199983,27678,905275,398576,21,2908,1366,698.1,3587806,0.9988,36179,60760.1,39372800.0,9593,170341,11742.5,2584217814
25435,5.771,199983,27786,905522,398908,21,2905,1369,672.1,3588748,0.9988,36164,72479.4,49046500.0,9602,181701,12485.1,2585013999
25456,4.2847,199976,27793,906019,399761,21,2904,1371,723.5,3590912,0.9988,36217,67840,43117700.0,9588,115603,11363.4,2587023147
